chr_id,lod_model_ref_01,lod_model_ref_02,lod_model_ref_03,lod_model_ref_04,lod_model_ref_05,lod_model_ref_06,lod_model_ref_07,lod_model_ref_08,lod_model_ref_09,lod_model_ref_10
"npc003a","","npc003a_LOD_2","","","","","","","",""
"npch003a","","npch003a_LOD_2","","","","","","","",""
"npc004a","","npc004a_LOD_2","","","","","","","",""
"npch004a","","npch004a_LOD_2","","","","","","","",""
"npc005a","","npc005a_LOD_2","","","","","","","",""
"npch005a","","npch005a_LOD_2","","","","","","","",""
"npc006a","","npc006a_LOD_2","","","","","","","",""
"npch006a","","npch006a_LOD_2","","","","","","","",""
"npc007a","","npc007a_LOD_2","","","","","","","",""
"npch007a","","npch007a_LOD_2","","","","","","","",""
"npc008a","","npc008a_LOD_2","","","","","","","",""
"npch008a","","npch008a_LOD_2","","","","","","","",""
"npc009a","","","","","","","","","",""
"npch009a","","","","","","","","","",""
"npc010a","","","","","","","","","",""
"npch010a","","","","","","","","","",""
"npc011a","","","","","","","","","",""
"npch011a","","","","","","","","","",""
"npc012a","","","","","","","","","",""
"npch012a","","","","","","","","","",""
"npc013a","","","","","","","","","",""
"npch013a","","","","","","","","","",""
"npc014a","","","","","","","","","",""
"npch014a","","","","","","","","","",""
"npc015a","","","","","","","","","",""
"npch015a","","","","","","","","","",""
"npc016a","","","","","","","","","",""
"npch016a","","","","","","","","","",""
"npc017a","","npc017a_LOD_2","","","","","","","",""
"npch017a","","npch017a_LOD_2","","","","","","","",""
"npc052a","","npc052a_LOD_2","","","","","","","",""
"npch052a","","npch052a_LOD_2","","","","","","","",""
"npc053a","","npc053a_LOD_2","","","","","","","",""
"npch053a","","npch053a_LOD_2","","","","","","","",""
"npc056a","","npc056a_LOD_2","","","","","","","",""
"npch056a","","npch056a_LOD_2","","","","","","","",""
"npc057a","","npc057a_LOD_2","","","","","","","",""
"npch057a","","npch057a_LOD_2","","","","","","","",""
"npc101a","","npc101a_LOD_2","","","","","","","",""
"npch101a","","npch101a_LOD_2","","","","","","","",""
"npc101b","","npc101b_LOD_2","","","","","","","",""
"npch101b","","npch101b_LOD_2","","","","","","","",""
"npc101c","","npc101c_LOD_2","","","","","","","",""
"npch101c","","npch101c_LOD_2","","","","","","","",""
"npc101d","","npc101d_LOD_2","","","","","","","",""
"npch101d","","npch101d_LOD_2","","","","","","","",""
"npc101e","","npc101e_LOD_2","","","","","","","",""
"npc102a","","npc102a_LOD_2","","","","","","","",""
"npch102a","","npch102a_LOD_2","","","","","","","",""
"npc102b","","npc102b_LOD_2","","","","","","","",""
"npch102b","","npch102b_LOD_2","","","","","","","",""
"npc102c","","npc102c_LOD_2","","","","","","","",""
"npch102c","","npch102c_LOD_2","","","","","","","",""
"npc102d","","npc102d_LOD_2","","","","","","","",""
"npc102e","","","","","","","","","",""
"npc102f","","npc102f_LOD_2","","","","","","","",""
"npc104a","","npc104a_LOD_2","","","","","","","",""
"npch104a","","npch104a_LOD_2","","","","","","","",""
"npc104g","","npc104g_LOD_2","","","","","","","",""
"npc105a","","npc105a_LOD_2","","","","","","","",""
"npch105a","","npch105a_LOD_2","","","","","","","",""
"npc105b","","npc105b_LOD_2","","","","","","","",""
"npch105b","","npch105b_LOD_2","","","","","","","",""
"npch105c","","npch105c_LOD_2","","","","","","","",""
"npch105d","","npch105d_LOD_2","","","","","","","",""
"npc105e","","npc105e_LOD_2","","","","","","","",""
"npch105e","","npch105e_LOD_2","","","","","","","",""
"npc105f","","npc105f_LOD_2","","","","","","","",""
"npch105f","","npch105f_LOD_2","","","","","","","",""
"npc105g","","","","","","","","","",""
"npch105g","","","","","","","","","",""
"npc106a","","npc106a_LOD_2","","","","","","","",""
"npch106a","","npch106a_LOD_2","","","","","","","",""
"npc106f","","npc106f_LOD_2","","","","","","","",""
"npc107a","","npc107a_LOD_2","","","","","","","",""
"npch107a","","npch107a_LOD_2","","","","","","","",""
"npc108a","","","","","","","","","",""
"npch108a","","","","","","","","","",""
"npc109a","","npc109a_LOD_2","","","","","","","",""
"npch109a","","npch109a_LOD_2","","","","","","","",""
"npc109b","","npc109b_LOD_2","","","","","","","",""
"npch109b","","npch109b_LOD_2","","","","","","","",""
"npc110a","","npc110a_LOD_2","","","","","","","",""
"npch110a","","npch110a_LOD_2","","","","","","","",""
"npc110b","","npc110b_LOD_2","","","","","","","",""
"npch110b","","npch110b_LOD_2","","","","","","","",""
"npc111a","","","","","","","","","",""
"npch111a","","","","","","","","","",""
"npc111b","","","","","","","","","",""
"npc112a","","","","","","","","","",""
"npch112a","","","","","","","","","",""
"npc112f","","","","","","","","","",""
