int32 0,int32 1,empty 2,int32 3,int32 4,int32 5,int32 6,empty 7,int32 8,int32 9,empty 10,int32 11,int32 12,empty 13,int32 14,int32 15,empty 16,int32 17,int32 18,empty 19,int32 20,int32 21,empty 22,int32 23,int32 24,empty 25,int32 26
289,10604,,308,0,4100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
290,10688,,310,0,4200,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
291,10703,,311,0,4050,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
292,10734,,314,0,4300,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
293,10738,,315,0,4200,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
294,10739,,316,0,4000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
295,10751,,321,0,3950,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
296,10766,,323,0,4500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
297,10767,,324,0,3800,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
298,10775,,326,0,5000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
299,10777,,328,0,4950,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
300,10915,,329,0,5100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
301,10921,,330,0,4850,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
302,10056,,250,0,1500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
303,10072,,252,0,1400,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
304,10090,,258,0,1100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
305,10114,,262,0,1250,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
306,10576,,305,0,1550,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
307,10592,,306,0,1350,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
308,10709,,312,0,1300,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
309,10113,,261,0,1600,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
310,10322,,288,0,950,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
311,10361,,290,0,1000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
312,10226,,278,0,1600,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
313,10314,,286,0,1400,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
314,10309,,283,0,1800,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
315,10369,,291,0,1700,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
316,10479,,304,0,2000,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
317,10312,,285,0,2100,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
318,10237,,282,0,2400,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
319,10130,,264,0,2200,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
320,10623,,309,0,1600,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
321,10431,,301,0,1800,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
322,10041,,248,0,2300,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
323,10754,,322,0,2600,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
324,10233,,281,0,2700,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
325,10050,,249,0,1200,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
326,29009,,46,0,100000,29001,,1,20001,,1,323,,3,0,,0,0,,0,0,,0,0,,0
327,29010,,48,0,100000,29002,,1,20005,,1,313,,3,0,,0,0,,0,0,,0,0,,0
328,29011,,52,0,100000,29005,,1,20006,,1,353,,3,0,,0,0,,0,0,,0,0,,0
329,29012,,54,0,100000,29006,,1,20103,,1,303,,3,0,,0,0,,0,0,,0,0,,0
330,29013,,56,0,100000,29007,,1,20500,,1,333,,3,0,,0,0,,0,0,,0,0,,0
331,29014,,58,0,100000,29008,,1,20525,,1,313,,3,0,,0,0,,0,0,,0,0,,0
332,20547,,205,0,1000,302,,3,332,,1,0,,0,0,,0,0,,0,0,,0,0,,0
333,20548,,163,0,1000,203,,3,352,,1,0,,0,0,,0,0,,0,0,,0,0,,0
334,20549,,164,0,1000,203,,3,301,,1,0,,0,0,,0,0,,0,0,,0,0,,0
335,10676,,292,0,3500,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
